"id","outter_name"
"78","奥迪A6(进口)"
"1101","小蚂蚁"
"1324","胜达"
"1462","长安CS75"
"3101","AION S"
"5407","华晨新日i03A"
"5819","蔚来ES7"
"6206","蓝山"
"6233","探索06"
"6235","仰望U8"
"24654","V-900系列"
"24870","克蒂怪兽"
"24950","五菱系列"
"24968","星拓系列"
"25020","H500"
"1828","创维D11 EV"
"5466","电牛2号"
"5791","博腾V1"
"6288","金琥EV48"
"24617","星光嘉旅"
"24643","V-900系列"
"25220","凯迪拉克CT5"
"56","Giulia朱丽叶"
"4353","长安UNI-T"
"5234","小海狮X30"
"9257","缤纷"
"10208","宝骏云海PHEV"
"24693","腾势Z9 DM"
"24711","Vanlife系列"
"25139","海狮05EV"
"993","揽胜极光"
"1406","森雅R7"
"5372","远程锋锐F3E"
"5439","长安欧尚Z6"
"6179","东南DX8S"
"474","东风小康K05S"
"1677","金旅大海狮新能源"
"2927","九龙C6"
"4823","LUMMA CLR G系列"
"4894","ID.6 X"
"5385","凌宝Uni"
"5409","蔚来ET5"
"5556","黄海·大牛"
"9458","新途EV70"
"9945","电动MINI ACEMAN"
"25207","艾瑞泽5 GT"
"2735","Supra"
"5173","Cayenne Coupé E-Hybrid"
"6160","悦也"
"9974","E路顺V6"
"24618","云景"
"24668","清风系列"
"24705","领途E-M8"
"25352","图雅诺X5 EV"
"353","别克GL8"
"1739","新龙马汽车启腾M70 EV"
"4076","比亚迪e3"
"9960","锐骐7 EV"
"24987","B型系列"
"25222","天工08"
"5090","哪吒S"
"5994","SEM DELICA"
"8962","江淮A5 PLUS"
"2513","TAHOE太浩"
"4207","御风房车"
"4721","凯普特e星"
"4814","AION Y"
"4870","智己L7"
"4921","哈弗赤兔"
"5563","捷途旅行者"
"9289","豪运"
"9931","大家9(测试)"
"9988","风光S580"
"212","奔驰C级"
"1924","创维D10"
"3175","宝马X3 M"
"4128","铂驰V系列"
"4506","金冠V-Class"
"4542","远志M1"
"8944","山海炮Hi4-T"
"9097","吉奥睿征L"
"24712","方舱系列"
"24999","巍浩"
"25147","汉L DM"
"825","凯歌"
"1641","宝马8系"
"4840","皇冠陆放"
"5497","雷克萨斯RZ"
"5921","Macan EV"
"8973","瑞虎9 C-DM"
"24689","恺丰"
"3478","蔚来ET7"
"5273","宝马X5"
"6030","吉奥帅舰"
"6149","哈弗二代大狗"
"10260","菱势电卡"
"24691","云游"
"156","Cayenne E-Hybrid"
"2880","吉利ICON"
"3041","荣威i5"
"4342","领克06"
"4990","奥迪Q3 Sportback"
"5196","克蒂雪堆白"
"5214","Purosangue"
"6273","长安CS75 PLUS 智电iDD"
"20013","小象X3"
"24614","依途C600"
"24702","金犀牛"
"25007","乌尼莫克"
"157","保时捷911"
"3474","奔腾T99"
"4357","蔚来EC6"
"4989","奥迪Q5L Sportback"
"9028","沃尔沃EX30"
"9503","先锋官V"
"10033","阿维塔 07"
"1655","东风风神E70"
"5251","哈弗神兽"
"5294","英菲尼迪QX60"
"24682","LUMMA G780"
"24951","盾牌系列"
"25153","开鹿V3"
"77","奥迪S5"
"1760","荣威Ei5"
"3352","小鹏P7"
"4819","思皓花仙子"
"4925","福田拓陆者驭途 EV"
"9535","巴菲特S"
"24527","迈腾（李林煊）"
"24713","拓疆"
"691","红旗国礼"
"5826","长安星卡PLUS"
"6070","狮铂拓界"
"8828","瑞驰新能源ED75"
"9374","风行星海V9"
"24612","捷途自由者"
"2836","途岳"
"5842","腾势D9 EV"
"6308","云兔"
"8948","红旗HQ9 PHEV"
"9010","祥菱V EV"
"9224","宝马i5"
"24728","火星系列"
"2993","长安CS85 COUPE"
"5786","海狮"
"5894","凯锐EV"
"5991","远程星智H"
"9649","捷途X70 C-DM"
"9650","风云T6"
"25263","凯迪拉克CT5"
"2984","大通G50"
"3077","唐EV"
"4223","长安CS55 PLUS"
"4586","ID.4 CROZZ"
"5919","欧陆PHEV"
"8942","宝马iX1"
"20060","极狐 考拉S"
"1463","长安CS95"
"3034","新海狮S"
"5850","骏行"
"6230","风光E380"
"6287","大力牛魔王D03"
"9686","凯马 锐腾"
"10205","海豹06GT"
"4456","Gemera"
"9236","瑞风E4"
"9720","先锋官"
"20020","凯翼昆仑C系"
"20118","帝豪(杨一龙)"
"24969","梦想家"
"25185","唐L EV"
"768","瑞风M3"
"1420","依维柯Ouba"
"4831","迈凯伦Artura"
"5388","领睿"
"5524","北汽瑞翔X3"
"25022","五十铃700P"
"2922","优劲EV"
"3050","EQ2"
"5260","九龙W5"
"10170","小鹏MONA M03"
"25005","卓越系列"
"25077","瑞风M3 PHEV"
"25154","星际X EV"
"291","奥德赛"
"1019","GranTurismo"
"4180","柯米克GT"
"4422","北京X7"
"9707","蔚来ET9"
"10212","领睿 PHEV"
"24703","福犀牛"
"24858","领途M8"
"25181","凯迪拉克XT4(LLT)"
"14","牧马人"
"1014","马自达3 昂克赛拉"
"1123","智跑"
"1318","索纳塔"
"3001","途观L PHEV"
"3056","迈威EV"
"4851","WALD V-Class"
"9794","知豆彩虹"
"2931","江淮T8"
"3762","Model 3"
"5037","五菱星辰"
"24517","雅阁（李林煊）"
"24651","V-900系列"
"24956","江淮系列"
"25072","昊铂HL"
"659","海格H6C"
"1023","Levante"
"2163","威尔法"
"4491","昂科威S"
"5217","大众ID.3"
"5840","御风EM26"
"8946","ID.7 VIZZION"
"9137","探索家·珠峰"
"139","宝马X5 M"
"3453","启辰T60 EV"
"6173","理想L7"
"9249","钛3"
"25261","世纪"
"1243","速派"
"3455","比亚迪e2"
"3805","庆铃五十铃T17"
"4779","LEVC TX"
"5024","昂科威Plus（停用）"
"9212","神骐T30 EV"
"24742","长江7号"
"24953","C型系列"
"25259","豹8"
"764","瑞风S2"
"5831","思皓X6"
"5864","GranTurismo Folgore"
"6157","游骑侠Ranger"
"9950","风云T10"
"25044","桑提格"
"393","朗逸"
"2827","奕泽IZOA"
"4078","探影"
"5034","库斯途"
"24676","C351系列"
"25073","大通G50 PHEV"
"1831","凯歌EV"
"6238","迈越iMAX8"
"6261","海豹DM"
"9040","测试"
"9647","北京越野BJ60雷霆"
"9761","小鹏P7+"
"24655","V-900系列"
"463","东风小康C32"
"4370","领克07 EM-P"
"5957","新海狮 EV"
"6380","新增车系"
"10259","菱势EV50"
"20047","宝马M5 PHEV"
"24626","J-500系列"
"24701","大海牛"
"25068","长安CS55 PLUS PHEV"
"281","本田UR-V"
"336","标致408"
"2890","奕跑"
"2978","祥菱V"
"3012","东风·瑞泰特EM10"
"4499","五菱宏光MINIEV"
"4505","金冠奔驰V-Class"
"4745","克蒂圣姆峰"
"4837","Modern in"
"5145","五菱电卡"
"9547","龙耀6S"
"24542","意路达EV"
"25040","皮卡房车系列"
"25076","秦L EV"
"2203","雷克萨斯UX"
"4540","宋PLUS EV"
"5061","迈莎锐V级"
"5923","长安UNI-V 智电iDD"
"5932","长安神骐PLUS"
"5983","五菱征程EV"
"9663","搏胜"
"25008","未来"
"25041","大熊座"
"1143","骐达TIIDA"
"1245","柯迪亚克"
"3134","祥菱S"
"4313","发现运动版"
"6090","跨越星V7 EV"
"8794","哈弗枭龙"
"9603","菱势黄金仓"
"9684","长安X7 PLUS"
"3957","领特"
"5253","测试颜色"
"6343","好运"
"9268","零跑B10"
"9651","长安UNI-Z PHEV"
"3587","江淮iEV7"
"4374","东风小康C51"
"5929","揽巡"
"6056","凯翼昆仑"
"6118","远航Y6"
"9667","大象G30"
"9941","东风小康C36Ⅱ"
"24936","大力牛魔王D08"
"1719","焕驰"
"5892","大将军F9 SUV"
"6268","新途V70"
"9429","大拿T1"
"24636","V-900系列"
"24708","星创"
"83","奥迪S8"
"1580","Lorinser VS系列"
"3180","海狮Z系列"
"3690","荣威RX9"
"5026","新龙马汽车启腾N60"
"8820","跨越者D5 EV"
"24996","高能"
"25152","星际X"
"220","奔驰CLA"
"249","奔驰CLA AMG"
"795","捷豹F-PACE"
"4645","翼放EC5"
"5324","迈巴赫EQS SUV"
"6346","仰望U9"
"9225","智界S7"
"9796","秦L DM"
"24946","NAJA系列"
"25136","深蓝S09"
"25150","坦克500 Hi4-Z"
"1805","DS 7"
"3463","领克05"
"5792","翼刻ET300"
"5883","OBBIN星海"
"5968","纳米BOX"
"6202","恒润H23"
"6205","岚图追光 EV"
"6317","奇瑞舒享家"
"24646","V-900系列"
"24709","快运王"
"25006","H500"
"4161","跨越王X1"
"5126","捷尼赛思GV60"
"5888","无界Pro"
"9809","星锐EV"
"9954","创富牛卡"
"10070","腾势Z9GT EV"
"24964","DE系列"
"24974","北极熊"
"989","揽胜星脉"
"1116","起亚K3"
"5264","思皓曜"
"6069","合创A06"
"9158","捷途X70 PRO"
"9877","捷途X90 PRO"
"10270","坦克400 Hi4-T"
"10273","纵横家"
"24939","睿蓝8"
"25100","盖亚"
"25140","荣威D6"
"64","Vanquish"
"4274","法拉利Roma"
"4320","五菱荣光EV"
"4655","Lorinser LS系列"
"5101","北京U5 PLUS"
"5165","奔驰GLE轿跑 AMG"
"5898","小麒麟"
"9993","捷尼赛思GV80 轿跑"
"24524","雅阁 PHEV(杨一龙)"
"93","奥迪RS 6"
"888","雷克萨斯ES"
"4707","帕拉索"
"9743","多米EV1"
"802","金杯大海狮"
"1637","御风P16"
"3721","斯威G05"
"4196","开拓者"
"5889","瑞虎8 PRO PHEV"
"6180","E路顺"
"6321","哈弗H5"
"9622","跨越王X7"
"20031","蒙迪欧"
"20051","Valiant"
"3334","锐际"
"4475","博速 V级"
"5247","风景智蓝G7"
"5410","鑫源T2S EV"
"5557","皓极"
"5561","北京越野BJ60"
"5813","奔驰EQE"
"9636","坦克700 Hi4-T"
"126","宝马X3(进口)"
"228","奔驰GLE"
"3076","富康ES500"
"9229","鑫源T1L EV"
"9303","万象DST神州5号"
"10125","零跑C16"
"9","YUKON育空"
"407","途安L"
"4660","领特EV"
"4731","零跑C11"
"5912","ZR-V 致在"
"8967","星途瑶光C-DM"
"9717","恺达X6"
"25027","重卡越野系列"
"79","奥迪S6"
"2826","柯米克"
"4938","雷诺MASTER ZE"
"5166","奔驰GLE轿跑 PHEV"
"5369","锋兰达"
"20136","风神L7 EV"
"24644","V-900系列"
"4086","艾瑞泽e"
"4125","东风纳米EX1"
"4487","奕炫GS"
"4834","华晨新日i03"
"6076","瑞虎7 PLUS PHEV"
"6237","皇冠SportCross"
"8789","蓝猫"
"9096","吉奥睿征"
"9113","哈弗猛龙PHEV"
"9255","瑞驰EC75"
"25028","C 620"
"25029","T 600"
"340","标致4008"
"458","东风小康K01"
"1092","瑞虎3x"
"1147","天籁"
"1704","雷克萨斯LC"
"4743","思皓X8"
"4822","LUMMA CLR V"
"4869","智己LS7"
"5229","跨越王X1 EV"
"24883","皮卡越野"
"4615","坦克300"
"6209","逸达"
"9830","大家9超混"
"24623","E-500系列"
"25010","福特"
"1820","秦EV"
"3644","祥菱M"
"3663","Taycan"
"4365","牧马人4xe PHEV"
"9106","橙仕X7"
"9187","传祺ES9 PHEV"
"9234","五菱星光EV"
"9513","E路福"
"229","奔驰GLE PHEV"
"1119","起亚K5"
"1606","伊兰特新能源"
"3742","风景G5"
"5794","远程星享V"
"8888","Revuelto"
"24981","勘路者系列"
"25340","极狐 阿尔法S6"
"205","勇士"
"4571","五菱荣光小卡专用车"
"5248","元PLUS"
"5965","雷克萨斯RX PHEV"
"6029","依维柯欧风"
"9693","探界者Plus"
"25003","轻卡系列"
"25024","SAMT"
"25036","小熊座"
"1774","云100 plus"
"1838","金旅海狮EV"
"4582","荣威i6 MAX EV"
"5830","坦克500 Hi4-T"
"6027","深蓝S07"
"8808","风云A8"
"20154","星愿"
"24881","依维柯系列"
"25060","攀爬者"
"3981","冒险家"
"5023","中兴1949"
"5858","格瑞维亚"
"6143","华凯新能源"
"8960","大家7 EV"
"9208","哪吒AYA"
"9216","赛博坦克300"
"10180","智界R7"
"24661","瑞弗S系列"
"25213","艾瑞泽5 PLUS"
"161","保时捷718"
"4339","飞行家"
"5992","标致408X"
"9029","云朵"
"9262","沃尔沃EM90"
"20019","江豚E5"
"20128","一汽-大众 迈腾（李林煊）"
"24681","LUMMA GS650"
"25293","极狐 阿尔法T6"
"1094","瑞虎7"
"1270","沃尔沃V60"
"3723","合创007"
"4641","航天金龙"
"4687","云度V01L"
"9167","岚图追光 PHEV"
"595","风景G9"
"894","雷克萨斯RX"
"2113","捷尼赛思G90"
"2923","蓝舰H6"
"5195","克蒂怪兽"
"5805","奔驰EQS SUV"
"5848","MG5天蝎座"
"25224","VGV U70Plus"
"1597","宇通T7"
"2883","领克01 EM-P"
"5014","小虎FEV"
"8795","哈弗枭龙MAX"
"9345","昊铂HT"
"24744","大通系列"
"24970","公路拖挂"
"25270","凯迪拉克XT5"
"579","蒙迪欧"
"780","宝典"
"4322","迈莎锐添越"
"5414","小海狮 EV"
"6082","览拓者"
"10132","荣威iMAX8 DMH"
"10214","深蓝L07"
"24723","星辰系列"
"24757","测试"
"782","特顺"
"2151","红旗HS7"
"2977","祥菱V"
"5233","顺达EV"
"5312","坦克400"
"5320","申龙DST神州5号"
"5852","艾瑞泽8"
"6286","大力牛魔王D01"
"8834","阿维塔 12"
"9301","万象T02"
"9947","享界S9"
"256","奔驰GLE AMG"
"457","东风风神AX7"
"1276","沃尔沃XC90 PHEV"
"5580","富康ES600"
"5972","克蒂帝亚"
"6048","LUMMA CLR X7"
"6269","昂科拉Plus"
"8798","猛士917"
"9919","鑫源金卡S1"
"24966","汕德卡系列"
"25196","夏"
"75","奥迪A4(进口)"
"4272","零跑T03"
"5502","斑马"
"6148","熊猫"
"6381","新增车系"
"9641","捷途山海T1"
"20021","海豹07DM"
"25064","依维柯欧霸"
"86","奥迪SQ5"
"1610","众泰T300"
"2726","添越PHEV"
"2928","缤瑞"
"3736","凯迪拉克CT5"
"4329","RAV4荣放PHEV"
"5297","欧拉芭蕾猫"
"9021","远程星享F1E"
"9660","智己L6"
"9880","揽巡(测试)"
"20012","宋L DM"
"25119","晓澳VITO"
"1020","GranCabrio"
"4827","思皓X7"
"6036","本田HR-V"
"8922","雷驰·仁T10"
"8925","五菱龙卡"
"9149","星际"
"10022","悦也Plus"
"10217","领裕 PHEV"
"24624","E-900系列"
"25227","艾瑞泽8 PRO"
"1274","沃尔沃V90"
"4232","英菲尼迪QX55"
"4730","本田CR-V PHEV"
"5416","岚图梦想家 EV"
"8956","奔腾小马"
"120","宝马5系(进口)"
"485","东南DX7"
"836","九龙A4"
"3095","享域"
"3476","星瑞"
"4792","星途凌云"
"5194","克蒂圣姆峰M1系列"
"5299","跨越星V5 EV"
"5857","长安欧尚Z6 iDD新能源"
"9284","福运EV"
"9782","图雅诺X6"
"24634","V-900系列"
"24958","慧驭"
"25267","秦PLUS DM"
"226","奔驰GLC轿跑"
"3355","沃尔沃XC40"
"4355","红旗H9"
"5827","五菱佳辰"
"5832","Polestar 4"
"5872","帝豪L HiP"
"5896","五菱Air ev晴空"
"6147","锐程PLUS"
"9030","蓝电E3"
"9943","凯迪拉克CT5（唐子博）"
"25208","欧萌达"
"2182","阿斯顿·马丁DBX"
"3196","长安CS75 PLUS"
"5035","Urus "
"5177","雅升V-Class"
"9343","探陆"
"1576","神骐F50"
"4772","宝马XM"
"4857","星越L"
"5257","QQ冰淇淋"
"5824","五菱E10"
"6164","黑武士Youth"
"9803","鑫源E3"
"24669","C535系列"
"24684","升顶炮房车"
"404","途观L"
"4221","神骐T10 EV"
"4722","Grecale"
"4797","比亚迪e9"
"5443","魔方"
"5818","荣威iMAX8 EV"
"6177","枫叶60s PRO"
"9186","IQ傲歌"
"24685","自由炮房车"
"24919","悦意03"
"25336","菱势黄金仓PLUS"
"4549","锐际PHEV"
"5845","理想L6"
"6098","山海炮"
"9118","智己LS6"
"9689","元UP"
"9911","红旗HS3(测试)"
"10179","法拉利12Cilindri"
"10213","深蓝S05"
"24800","AION RT"
"25193","零跑C16"
"427","御风EV"
"2828","海马8S"
"3125","东风小康D52"
"5551","东风小康D71 PLUS"
"6081","吉利几何M6"
"9188","大通G70"
"24545","蔚来ET5（李林煊）"
"24997","拖挂T系列"
"25037","乐天派"
"814","小海狮X30"
"1757","Arteon"
"1826","图雅诺X7"
"3275","哪吒U"
"4538","宝马iX3"
"4746","克蒂巴赫"
"4826","优劲T5"
"5567","星途追风C-DM"
"9099","吉奥帅豹"
"24675","C520系列"
"24718","白鲸"
"25180","凯迪拉克XT4"
"80","奥迪A7"
"1533","小老虎"
"3052","长安CS35 PLUS"
"5227","理想L9"
"5386","风行游艇"
"5503","哈弗H6 PHEV"
"9237","起亚EV5"
"9625","江淮T6 EV"
"9828","eπ008"
"9905","捷豹XFL(测试)"
"10147","捷途山海L7"
"24645","V-900系列"
"429","锐骐"
"3724","DS 9"
"4381","马自达CX-30"
"4594","翼放ES7"
"4723","北汽小河马"
"4995","跨越星V5"
"5354","瑞驰EC72"
"5452","吉奥吉瑞"
"5456","跨越星V3"
"6365","雅阁 PHEV"
"9454","星瑞L"
"20135","MG ES5"
"24613","依途T600"
"25253","银河星舰7 EM-i"
"218","奔驰A级(进口)"
"4228","汉DM"
"4981","元Pro"
"5367","炫界Pro EV"
"5825","Eletre"
"6150","江南U2"
"8949","鑫源T5L EV"
"24699","隆翠系列"
"24927","五菱之光EV"
"1255","Model X"
"4535","荣威iMAX8"
"5210","传祺GS4 PLUS"
"5828","MG4 EV"
"6196","拓锐斯特V-Class"
"9131","极石01"
"9271","祥菱Q"
"20070","克慕勒阿尔法"
"24706","星浩"
"24749","予风EV50客运版"
"25094","日产N7"
"1016","马自达CX-5"
"1777","依维柯欧胜"
"1810","风行S50 EV"
"2849","捷途X90"
"2887","宋MAX DM"
"4890","福特电马"
"4903","拓陆者驭途 EV"
"5296","跨越王F3"
"24659","蓝电E5 PLUS"
"24980","克罗拉多系列"
"24995","星舰"
"25433","长安猎手K50"
"153","Panamera E-Hybrid"
"4593","翼放ES5"
"4755","思皓A5"
"5802","风行雷霆"
"5887","锐胜王牌EM7"
"8903","克慕勒GLS"
"24991","公羊RAM"
"25042","S系列"
"1455","逸动"
"4334","奥迪Q4 e-tron"
"4861","奔腾NAT"
"6028","安凯Q5"
"9184","传祺E8 PHEV"
"24677","B311系列"
"25050","图雅诺系列"
"135","宝马M3"
"547","普拉多"
"877","Huracán"
"2311","江淮iEVA50"
"4919","橙仕01"
"5525","芒果Pro"
"9507","大力牛魔王D05"
"9673","T30探险家"
"24687","自由风"
"25144","予风黄金仓"
"262","奔驰SL级AMG"
"1567","奔奔mini-e"
"4563","哈弗大狗"
"5228","法拉利296"
"5270","瑞驰EC71"
"5453","风行S60 EV"
"8859","银河L6"
"24635","V-900系列"
"24692","腾势Z9 EV"
"25034","M2系列"
"848","优优"
"1422","英菲尼迪Q50L"
"4649","思皓E50A"
"4673","拓陆者驭途EV"
"5790","龙耀6"
"8934","赛图斯"
"8980","凌际威途"
"9018","新海豚 EV"
"24788","银河星舰7 EM-i"
"24948","轻卡系列"
"25047","奥铃系列"
"44","MINI JCW"
"132","宝马Z4"
"471","东风小康C35"
"804","金杯快运"
"1793","菱智M5 EV"
"2813","风光ix5"
"4416","奔奔E-Star"
"6013","卡路里"
"24627","V-500系列"
"24724","图乐系列"
"25475","瑞擎V6"
"4201","海马7X"
"4276","启辰星"
"4744","飞碟Q2V"
"5552","东风小康D72 PLUS"
"8984","览拓者EV"
"9683","长安X5 PLUS"
"25206","风云A8L"
"3166","Polestar 2"
"5027","新龙马汽车启腾龙7"
"5060","新豹T1"
"5153","启辰大V"
"5855","江豚"
"24586","吉利第4代帝豪(刘阳)"
"24967","远征者系列"
"67","阿斯顿·马丁DBS"
"224","奔驰S级"
"1920","TAGA达咖"
"3115","奥迪e-tron GT"
"4583","大将军G9"
"6068","海狮07EV"
"9275","Emeya"
"9350","福特烈马"
"9829","大家7超混"
"24647","V-900系列"
"25035","K系列"
"25328","红旗国悦REEV"
"25397","焜驰威霆"
"252","奔驰E级AMG"
"1475","欧诺S"
"1647","北京越野BJ90"
"2779","斯威G01"
"6154","昊铂SSR"
"8959","坦克300 Hi4-T"
"9810","钱多多"
"10122","红旗国雅"
"24640","V-900系列"
"32","MG6"
"3863","新豹T3"
"4211","宝马i4"
"4284","探险者"
"4574","江淮轿卡X5售货车"
"4883","TAGA达咖H"
"4986","凌放HARRIER"
"5520","瑞虎8 PRO"
"9136","雷驰·仁T30"
"9349","eπ007"
"25349","捷途X90 C-DM"
"4179","大通FCV80"
"4668","奔驰EQS"
"5031","奕炫MAX"
"8943","捷途山海T2"
"9117","北汽泰普V级"
"9778","ZEEKR 7X"
"25025","卡居系列"
"347","君越"
"1636","丰田C-HR"
"4798","瑞风L6 MAX"
"5213","博腾V2"
"5343","问界M5"
"5364","奥迪Q6"
"6044","领地"
"8801","迈巴赫S级 PHEV"
"9270","祥菱Q EV"
"25004","高歌"
"25046","挑战者系列"
"25113","吉运E6"
"25351","图雅诺X5"
"25408","捷途X70 PLUS C-DM"
"341","标致5008"
"891","雷克萨斯NX"
"1437","英菲尼迪QX80"
"4637","极狐 阿尔法S"
"5326","奔驰纯电G级"
"6336","启辰大V DD-i"
"9100","阿斯顿·马丁DB12"
"9243","瑞风RF8 PHEV"
"9339","五菱荣光新卡EV"
"9505","五菱扬光"
"9690","翼真L380"
"24520","雷驰·仁T30"
"24639","V-900系列"
"24799","郑州日产Z9"
"25032","C 600"
"25061","挑战者"
"525","埃尔法"
"2938","Lorinser MS500L"
"3276","捷达VS7"
"4780","捷途X70 PLUS"
"6120","思皓X8 PLUS"
"6312","哪吒GT"
"9904","星际牛魔王"
"10221","远程幸福号"
"10230","阿维塔 06"
"24786","瑞虎7 C-DM"
"24990","公路拖挂"
"25214","艾瑞泽5 惠民版"
"2971","凯迪拉克XT4"
"3210","域虎EV"
"3390","北京X3"
"4791","菱智PLUS"
"5847","护卫舰07"
"6072","申龙地上铁510"
"6094","E全顺"
"9876","五菱E5"
"24667","LUMMA GT35"
"31","MG5"
"2963","奥迪Q2L"
"4623","宇通T7E"
"4646","翼放EC7"
"4783","长安UNI-K"
"5103","锐行者"
"6074","万象K01"
"8989","风神L7 PHEV"
"24743","长江6号"
"24869","克蒂山河"
"24988","潮VAN"
"25059","宾歌"
"213","奔驰C级PHEV"
"337","标致508L"
"473","东风小康K07S"
"573","途睿欧"
"653","哈弗H9"
"3503","AION LX"
"3713","锐骐6 EV"
"4425","探岳X"
"5893","大将军G9 SUV"
"9312","哪吒X"
"10177","岚图知音"
"25033","美式小拖挂"
"200","EH系列"
"355","飞驰"
"3441","新途V90"
"4426","AION V"
"4642","途观X"
"4759","领裕"
"6314","斯威大虎EDi"
"8895","小鹏G6"
"9201","龙耀8S"
"9427","祥菱Q"
"24552","蔚来ET5（曹卓然）"
"24615","远见"
"276","思域"
"4080","昂科旗"
"5873","金刚炮"
"6277","未奥BOMA"
"8896","英仕派 PHEV"
"24893","捷达VA7"
"25045","芒果方舱"
"571","福特F-150 Raptor"
"2375","江淮V7"
"2889","菲斯塔"
"3730","车驰Sprinter"
"3801","红旗H5 PHEV"
"5374","闪灵"
"5588","VGV U75"
"5897","星迈罗"
"895","雷克萨斯LX"
"5015","ZEEKR 001"
"5033","轩度"
"5283","领克09 EM-P"
"9288","申龙V6"
"1017","Ghibli"
"1870","思域(进口)"
"3124","东风小康D51"
"4299","上喆V级"
"4373","东风小康C52"
"6067","理想MEGA"
"8788","皓瀚"
"8790","大道 EV"
"8966","星纪元ET"
"9129","长安启源A05"
"9728","悍途EV"
"20032","瑞虎8L"
"24585","凯迪拉克CT5（刘阳）"
"24625","F-500系列"
"24925","星途揽月C-DM"
"777","星锐"
"3357","睿行M60"
"3932","奔驰EQB"
"4654","风行T5 EVO"
"5335","拿铁PHEV"
