"id","outter_name"
"6244","跨越王X3 EV"
"8796","领克08 EM-P"
"8978","顺威小卡"
"9154","星际EV"
"24949","芳语之韵系列"
"25021","C 610"
"3349","北京EU7"
"4092","傲旋"
"5565","斯威大虎"
"6121","奥迪SQ5 Sportback"
"8897","钇为3"
"9682","哪吒L"
"20067","开沃D10"
"24642","V-900系列"
"24741","宿营车系列"
"24998","无界"
"3383","DS 3 EV"
"4200","捷尼赛思GV70"
"5356","Polestar 3"
"6360","腾势N7"
"8849","风景智蓝G5"
"9642","长安启源E07"
"24611","宝骏享境EV"
"24674","鲲鹏系列"
"282","艾力绅"
"1281","沃尔沃S90"
"1604","伊兰特新能源"
"1616","蔚来ES8"
"1702","Mirai"
"1742","捷尼赛思G70"
"2875","英仕派"
"4156","领克05 EM-P"
"4391","e爱丽舍"
"5167","奔驰GLC轿跑 AMG"
"5454","捷尼赛思纯电GV70"
"10040","iCAR V23"
"24973","星雨系列"
"25250","豹5"
"1538","芝麻E30"
"4157","DS 9 PHEV"
"4562","龙耀8"
"4828","思皓X4"
"5223","赛那"
"5548","鲸卡T7"
"5808","大将军EV皮卡"
"9261","纳米01"
"24562","理想L6（李林煊）"
"24850","问界M8"
"25289","海豹06GT"
"81","奥迪S7"
"165","北京越野BJ80"
"223","奔驰CLS"
"1579","劲客"
"1605","伊兰特新能源"
"1621","传祺GS3"
"4569","凯捷Victory"
"4703","风光500"
"24898","IXEO"
"25049","中巴系列"
"470","东风小康C37"
"2167","嘉际"
"4363","Model Y"
"4537","航海家"
"5322","smart精灵#1"
"5474","瑞风E3"
"5820","问界M7"
"6033","艾瑞泽5 GT"
"9935","凯迪拉克CT5（张京凯）"
"1288","五菱荣光小卡"
"1603","伊兰特新能源"
"2794","瑞虎8"
"2962","五菱荣光新卡"
"4774","新龙马汽车启腾N50 EV"
"5817","吉利几何E萤火虫"
"6126","丰田bZ3"
"6303","高山"
"8987","广汽丰田铂智3X"
"9920","揽境(测试)"
"10162","红旗天工06"
"24622","启界"
"24746","梦享家"
"25264","思域"
"95","奥迪A3"
"2796","东风·瑞泰特EM30"
"4192","跨越者D5"
"4561","MG Cyberster"
"5067","EVOS"
"5122","创维EV6"
"9944","ZEEKR MIX"
"25161","领克900"
"54","斯威X3"
"1280","沃尔沃S60 PHEV"
"4174","北汽昌河EV5"
"6189","露营大师"
"6362","别克E4"
"6363","极狐 阿尔法T5"
"9242","长安启源Q05"
"9952","与众06"
"24688","URV"
"289","雅阁"
"1290","五菱宏光"
"1586","卡升V-Class"
"9783","悦01"
"24716","快运王EV1"
"25396","焜驰V级"
"594","风景G7"
"733","帝豪"
"1359","探界者"
"2867","奔腾T77"
"3527","帕里斯帝"
"3718","依维柯欧胜EV"
"4690","东风小康C56"
"6080","吉利几何G6"
"6191","骆驼"
"9812","卡拉"
"10124","五菱星光S PHEV"
"10171","腾势Z9GT DM"
"1183","荣威eRX5"
"1503","风骏5"
"1644","北汽007"
"3359","微蓝6"
"5048","凡尔赛C5 X"
"5298","电动屋YOUNG光小新"
"5480","卡漠兹系列"
"20052","凌际卫士"
"24658","开拓者系列"
"24727","高尔夫GTI"
"24971","寻秘山海系列"
"25092","E顺达"
"219","奔驰B级"
"834","九龙A6"
"1151","奇骏"
"1232","OUTBACK傲虎"
"2820","风行T5"
"3162","勇猛者"
"3935","奔驰GLB AMG"
"5171","奔驰EQS AMG"
"6359","红旗HS3"
"9922","凯迪拉克CT5（李要龙）"
"25001","进口车系列"
"195","EC系列"
"436","风光580"
"4245","奥迪RS Q8"
"4858","羿"
"5008","海豚"
"9958","星海S7"
"20090","狙击手"
"24638","V-900系列"
"24652","V-900系列"
"24972","东风猛士"
"25204","速腾"
"155","Cayenne"
"385","途锐"
"831","金旅大海狮"
"1738","瑞虎5x"
"4300","汉EV"
"5009","AMG GT PHEV"
"5172","Cayenne Coupé"
"5579","海豹"
"5918","C530系列"
"6252","超级VAN"
"9156","东风小康EC36Ⅱ"
"10123","五菱星光S EV"
"24597","夏"
"24811","iCAR 03T"
"25126","懂车拍测试车系"
"255","奔驰G级AMG"
"258","奔驰GLS AMG"
"883","古思特"
"4715","金杯海狮王"
"5878","ZEEKR 009"
"6051","奔驰CLE级AMG"
"9455","星越L 智擎"
"9924","五菱缤果PLUS"
"25184","启源Q05"
"94","奥迪RS 7"
"4278","奔腾E01"
"4859","思皓QX"
"6298","iCAR 03"
"535","凯美瑞"
"567","Mustang"
"4629","哪吒V"
"4663","本田LIFE"
"5089","合创Z03"
"5822","橙仕X2"
"9489","恒信致远V级"
"1801","揽胜PHEV"
"2471","博速 G级"
"3710","CLEVER"
"3767","远程E6"
"5212","北汽瑞翔X5"
"5315","铂驰维努斯"
"24558","凯迪拉克CT5（李林煊）"
"24726","腾势N9 DM"
"25203","ID.4 CROZZ"
"87","奥迪Q7"
"215","奔驰GLA"
"4380","吉利几何C"
"6311","昊铂GT"
"9153","探索家星际H"
"4079","皓影"
"4432","金杯T2S"
"6032","吉奥奥腾"
"9073","世极"
"9104","活越神童03"
"25217","宝马 i3"
"338","标致2008"
"445","菱智"
"2976","祥菱V"
"3192","五菱宏光V"
"3928","奔驰GLB"
"4172","威兰达"
"4899","秦PLUS EV"
"4937","雷诺MASTER ZE"
"20044","岚图FREE01"
"25200","依维柯得意EV"
"25233","先锋官V EV"
"558","新龙马汽车启腾M70"
"1277","沃尔沃XC90"
"2812","宝马X3"
"3015","长安星卡EV"
"3061","柯迪亚克GT"
"5418","红旗国耀"
"5934","海马7X-E"
"9179","极狐 阿尔法S5"
"24715","辉煌系列"
"24880","重卡系列"
"25244","坦克400"
"141","宝马M2"
"288","缤智"
"826","金威"
"1296","mu-X牧游侠"
"4678","恒驰5"
"5149","奔腾B70S"
"5188","VGV U75PLUS"
"5238","坦克500"
"5316","瑞风L5"
"8993","猎光e:NS2"
"24604","山海炮房车"
"25282","电动MINI JCW ACEMAN"
"287","凌派"
"348","君威"
"415","迈腾"
"1594","哈弗M6"
"4117","标致4008 PHEV"
"5339","威飒"
"5417","红旗H6"
"5799","开瑞X6"
"9019","坦克300共创"
"9891","Microlino"
"24620","瑞弗F系列"
"25124","风云A8L"
"131","宝马2系(进口)"
"3360","奔驰A级AMG"
"3365","奕炫"
"5377","中兴1986"
"5931","金海狮M"
"9501","MINI皮卡"
"24641","V-900系列"
"24965","理想家"
"25101","风景i"
"25177","上喆威霆"
"25249","海豹05DM"
"2810","新海狮X30L"
"5277","五菱荣光小卡EV"
"5886","锐胜王牌M7"
"6060","凯翼拾月"
"20138","海狮05DM"
"24650","V-900系列"
"24717","麒领"
"24747","梦骑士"
"25292","牛仔"
"991","揽胜"
"1182","荣威RX5"
"3028","易至EV3"
"4160","威然"
"4799","晓澳V-Class"
"6117","远航H8"
"6224","蔚来EC7"
"6366","大道"
"9471","泰坦"
"9912","别克GL8 PHEV"
"24696","凯歌系列"
"24976","神行太保"
"25093","E福顺"
"25116","firefly萤火虫"
"118","宝马4系"
"1380","DS 4"
"3164","凯迪拉克XT6"
"5953","星途瑶光"
"6253","ZEEKR X"
"8979","宋L EV"
"9500","风云T9"
"10207","宝骏云海EV"
"24982","十三太保"
"222","奔驰E级(进口)"
"1145","轩逸"
"1642","天逸 C5 AIRCROSS"
"2989","帕萨特PHEV"
"8872","鲸卡T7 EV"
"9793","电动MINI COOPER"
"24630","V-900系列"
"63","Vantage"
"397","凌渡"
"796","捷豹F-TYPE"
"1531","威虎"
"1570","睿行S50"
"1623","领克03"
"4717","五菱征途"
"4801","亚洲狮"
"6003","睿蓝9"
"9126","蔚来ET5T"
"20078","传祺E8"
"1297","D-MAX"
"2832","传祺M6"
"4188","锐程CC"
"4296","宝马i7"
"4733","飞碟Q2T"
"4961","ID.6 CROZZ"
"5293","YOUNG光小新"
"5412","金卡S3"
"6169","华凯VB06"
"9753","宾歌T10"
"10136","smart精灵#5"
"25199","捷达VS7"
"264","迈巴赫S级"
"1789","捷豹XEL"
"2841","铃拓"
"4159","五菱宏光PLUS"
"5005","新龙马汽车启腾N50"
"5905","红旗HQ9"
"9307","零跑C10"
"24637","V-900系列"
"25187","汉L EV"
"59","Stelvio斯坦维"
"122","宝马7系"
"542","卡罗拉"
"3116","角斗士"
"6309","盛唐V-Class"
"9963","凯迪拉克CT5（马洪超）"
"24540","长安UNI-Z"
"25186","羿驰01"
"2698","斯巴鲁WRX"
"3030","锐骐6"
"5859","长安Lumin"
"5884","长安凯程F300"
"6256","远程锋锐V5E"
"6272","smart精灵#3"
"8976","捷途山海L6"
"9939","凯迪拉克CT5（苑云秀）"
"248","奔驰A级AMG(进口)"
"405","途昂"
"3046","艾瑞泽EX"
"3163","开云电皮卡"
"9833","乐道L60"
"24518","信V70"
"882","幻影"
"1150","逍客"
"3094","科鲁泽"
"6087","传祺E9 PHEV"
"6216","东风小康D72"
"6327","骆驼微卡"
"24525","雅阁 PHEV（张腾）"
"24671","C533系列"
"25078","唐L DM"
"1355","迈锐宝XL"
"1910","瑞驰EC35"
"2990","东南A5翼舞"
"4182","凯迪拉克CT4"
"4503","凌宝BOX"
"4825","迈巴赫LS85"
"5387","本田e:NS1"
"9116","菱势黄金卡"
"9777","图雅诺X6 EV"
"25026","新能源系列"
"25280","智己LS6"
"1298","瑞迈"
"4796","凌尚"
"5854","锐骐7"
"5958","VGV U70Pro"
"10154","红旗天工05"
"10191","ZEEKR 001 FR"
"20119","帝豪（张腾）"
"24609","宝马2系"
"24619","通途"
"990","发现"
"1650","奔驰GLC AMG"
"2185","奥迪SQ7"
"2835","探岳"
"4340","领克06 EM-P"
"4902","Emira"
"10128","东风本田S7"
"20089","212 T01"
"24978","星愿系列"
"890","雷克萨斯LS"
"1126","嘉华"
"1279","沃尔沃S60"
"1534","大领主"
"1560","威虎"
"2850","捷途X95"
"3132","瑞驰EC31"
"3564","恒天L4600"
"4068","东南DX5"
"9434","大拿M1"
"10127","广汽本田P7"
"24934","风云T8"
"25205","风云T10"
"1487","睿行M90"
"3807","Tonale托纳利"
"5438","大通G90"
"5980","昂扬"
"6187","小米SU7"
"9128","ZEEKR 007"
"9347","荣威D5X DMH"
"24983","神龙大侠"
"25014","AION UT"
"1323","现代ix35"
"1712","风光S560"
"5216","长安UNI-K 智电iDD"
"10271","勇士皮卡"
"20157","帝豪（曹卓然）"
"24707","星领"
"24994","阿洛斯"
"145","宝马3系"
"1602","伊兰特新能源"
"3469","炮EV"
"4724","飞驰PHEV"
"6349","小象EV"
"8950","瑞风RF8"
"8975","江淮QX PHEV"
"10216","新豹T3 EV"
"24732","无极系列"
"25038","MJ拖挂系列"
"3096","广汽本田VE-1"
"3720","星途揽月"
"3872","跨越王X5"
"4311","炫界"
"4388","悦虎"
"4490","五菱EV50"
"4720","T50 EV"
"4795","绎乐"
"5290","驱逐舰05"
"5869","Grecale Folgore"
"6392","猛士MS600"
"9181","帕拉丁"
"24678","B530系列"
"24884","北极熊"
"24975","城市游侠系列"
"1322","途胜"
"2970","启辰T60"
"5935","世纪"
"8892","金卡S6"
"24720","凯旋系列"
"475","东风小康EC36"
"1575","神骐F30"
"1628","启辰D60"
"1646","奥迪Q8"
"1938","捷途X70"
"3367","领界EV"
"4081","雪佛兰畅巡"
"4527","大运星P30"
"6278","依维柯聚星"
"6356","极狐 考拉"
"9138","龙耀5"
"9246","豹8"
"9428","灵悉L"
"9492","豪越PRO"
"123","宝马7系PHEV"
"127","宝马X6"
"345","威朗"
"1357","创酷"
"1486","睿行M80"
"1561","远景X1"
"4867","摩卡PHEV"
"6155","CROSSTREK旭豹"
"9486","江淮X8 PLUS"
"9882","哪吒S猎装"
"10137","马自达EZ-6"
"24529","唐DM-i（李林煊）"
"24961","野玩"
"214","奔驰E级"
"461","东风小康K02"
"1622","领克01"
"1729","奔驰EQA"
"2921","凯锐浩克"
"5093","宝骏KiWi EV"
"5472","合创V09"
"6208","奔驰EQE SUV"
"9723","北京越野BJ40增程"
"24535","领克Z20"
"24631","V-900系列"
"24740","天骏V6"
"38","MINI"
"82","奥迪A8"
"4209","VGV U70"
"6132","红旗H5"
"6266","五菱缤果"
"9103","活越神童01"
"9937","凯迪拉克CT5(杨一龙)"
"24955","菱势黄金小卡"
"358","欧陆"
"409","宝来"
"3023","宝马iX"
"5308","阿维塔 11"
"5382","卡罗拉锐放"
"9247","图雅诺X8"
"280","本田CR-V"
"893","雷克萨斯GX"
"1289","五菱之光小卡"
"3864","跨越王X3"
"8830","银河L7"
"9006","鑫源T3L EV"
"24739","天骏V5"
"260","AMG GT"
"753","和悦A13"
"1018","总裁"
"5787","家宝"
"5911","睿蓝X3 PRO"
"6037","东南DX8"
"6116","远航H9"
"6271","别克E5"
"9273","角马"
"9357","大力牛魔王D02"
"9609","远程锋锐V5M"
"9927","小象S卡EV"
"24937","牛仔"
"25132","长安启源Q07"
"986","卫士"
"5250","MG ONE"
"5378","大通V100"
"5906","北汽瑞翔V2 EV"
"6023","欧麦加"
"8947","红旗EH7"
"9965","凯迪拉克CT5（刘哲）"
"10042","花仙子"
"24960","灵域"
"25252","缤越"
"164","北京越野BJ40"
"3172","捷达VA3"
"3504","宋Pro DM"
"4589","北京X7 PHEV"
"4943","起亚EV6"
"5573","跨越星V7"
"5788","元宝"
"6095","理想L8"
"6215","东风小康D71"
"9211","深蓝G318"
"9718","锐航"
"24629","V-800系列"
"24633","V-900系列"
"66","阿斯顿·马丁DB11"
"154","Macan"
"1802","揽胜运动版PHEV"
"4347","长安之星5"
"4451","玛莎拉蒂MC20"
"4572","五菱荣光新卡专用车"
"6052","福顺"
"6310","大象G40"
"8804","红旗国悦"
"9792","爱跑"
"20048","哪吒L（张煜琳）"
"25039","依维柯系列"
"25281","电动MINI JCW"
"1571","神骐T20"
"1956","Nexo"
"3437","揽境"
"4171","迈乔"
"4307","大通V90房车"
"4319","五菱宏光纯电版"
"4802","秦PLUS DM"
"5059","金海狮"
"6192","缔途EF3"
"6326","骆驼微卡"
"9464","依维柯聚星EV"
"9938","凯迪拉克CT5（袁）"
"24992","CS"
"1282","沃尔沃XC60"
"1639","宝马6系GT"
"4302","奥迪A7L"
"5244","捷途大圣"
"24756","瑞虎8 PLUS C-DM"
"3151","大通EV30"
"4980","飞凡R7"
"5063","大家9 EV"
"5215","雷克萨斯NX PHEV"
"8835","红旗天工08"
"8890","金卡S2"
"8958","长安启源A07"
"25148","乐福"
"279","本田XR-V"
"574","新世代全顺"
"3758","迈凯伦GT"
"5097","LUMMA CLR LD"
"6062","迈凯伦Artura PHEV"
"9825","红旗HS7 PHEV"
"24679","越野系列"
"24872","克蒂山川"
"233","奔驰GLS"
"1823","逸动PHEV"
"3044","风骏7"
"3068","亚洲龙"
"3159","红旗HS5"
"5004","小鹏P5"
"5461","小鹏G9"
"5479","塞里雅兰V级"
"5789","鲸卡T6"
"5899","北汽瑞翔M3"
"6084","万象T01"
"9194","黄海·蛟龙 EV"
"24660","瑞弗T系列"
"24989","T型车"
"25000","SPRINTER 4×4"
"25099","铸镕"
"462","东风小康C31"
"649","哈弗H6"
"769","瑞风M4"
"833","九龙A5"
"4635","欧拉好猫"
"4643","悍途"
"5242","瑞虎7 PLUS"
"5390","风光380"
"5969","奔驰C级AMG PHEV"
"8994","e:NP2 极湃2"
"24882","五十铃系列"
"136","宝马M4"
"1213","新途V80"
"1607","伊兰特新能源"
"1728","奥迪RS 4"
"2982","领界"
"5006","新龙马汽车启腾N30"
"10258","雷驰·信V70"
"24533","铃拓SUV"
"25043","C 500"
"146","宝马5系"
"546","RAV4荣放"
"1328","雅尊"
"4839","皓影 PHEV"
"5053","欧拉闪电猫"
"5928","祥菱M EV"
"6328","启辰VX6"
"6379","新增测试"
"8974","探索06 C-DM"
"24610","宝骏享境PHEV"
"25002","隆旌壹号"
"25167","雅升VITO"
"152","Panamera"
"267","奔腾B70"
"357","添越"
"416","大众CC"
"3435","途昂X(合并到途昂）"
"4787","影豹"
"9011","时代EV6"
"9346","捷途山海L9"
"20133","帝豪（李林煊）"
"24686","E途"
"25172","ZEEKR 007GT"
"25302","福特烈马"
"585","锐界"
"861","凯迪拉克XT5"
"2567","皇冠(进口)"
"5081","领克09"
"5082","捷途X90 PLUS"
"9926","凯迪拉克CT5(李硕)"
"24735","VAN家系列"
"24993","简约系列"
"414","速腾"
"1211","大通G10"
"1241","明锐"
"2966","迈图"
"4603","英力士掷弹兵"
"5871","创维HT-i"
"5895","ARIYA 艾睿雅"
"5964","精灵智蓝"
"6313","马自达CX-50行也"
"8965","星纪元ES"
"9032","五菱星云"
"9672","吉泰 怡亚通eD1"
"25023","V系列"
"398","帕萨特"
"808","金杯T3"
"3711","迈巴赫GLS"
"4588","拓陆者驭途EV"
"4856","宏远EM60"
"9831","江淮X8 E家"
"24698","哆啡系列"
"25095","仰望U7 PHEV"
"76","奥迪A5"
"426","御风"
"1825","新途EV80"
"3337","奥迪Q2L e-tron"
"4567","北京越野BJ30"
"4782","奥迪RS e-tron GT"
"5440","林肯Z"
"5492","克慕勒GT系列"
"6302","霸界"
"8884","豹5"
"20155","帝豪（齐孟龙）"
"24628","V-700系列"
"24714","新能源"
"24942","江豚E7"
"24959","奇域"
"1231","FORESTER森林人"
"1643","Urus"
"3165","大通V80房车"
"4873","RE500增程式旅居车"
"5102","北京EU5 PLUS"
"5392","e:NP1 极湃1"
"5421","新豹T5"
"5583","大将军G7"
"5807","凌际星云"
"6050","奔驰CLE级"
"24700","小野牛"
"24736","福星系列"
"25303","宝马3系"
"99","奥迪A6L"
"617","传祺GS8"
"1713","云度π1"
"1792","沃尔沃XC60 PHEV"
"1989","勇士皮卡（作废）"
"8812","火星9"
"24648","V-900系列"
"25048","霸王龙系列"
"283","飞度"
"715","黄海·翔龙"
"957","领航员"
"1254","Model S"
"1572","睿行M80"
"1977","探歌"
"3332","炮"
"4944","朋克多多"
"5340","型格"
"6227","瑞虎9"
"216","奔驰GLC"
"1573","睿行M90"
"4074","北京EU5"
"4711","瑞虎8 PLUS"
"5389","风光MINIEV"
"5420","奔驰EQE AMG"
"6020","雷达地平线EV"
"6102","Urus SE"
"6245","跨越王X3 EV"
"8811","火星7"
"24539","豹5（李林煊）"
"25030","欧胜系列"
"380","蔚揽"
"829","金旅海狮"
"1171","纳瓦拉"
"1418","依维柯得意"
"5047","五菱Nano EV"
"5843","腾势D9 DM"
"5867","五菱EV80"
"6211","豪越L"
"8803","奔腾T90"
"8904","骏航ES"
"20025","五菱宏光增程版"
"24721","中房之星系列"
"24875","海狮05 DM"
"25018","五菱扬光电卡"
"25114","吉运E9"
"125","宝马X4"
"140","宝马X6 M"
"410","高尔夫"
"1661","柯珞克"
"1830","九龙E6"
"3171","捷达VS5"
"3351","启辰D60 EV"
"4146","红旗E-HS9"
"4803","艾瑞泽5 PLUS"
"6046","凯翼V7"
"6137","飞凡F7"
"6178","枫叶80v PRO"
"8991","SKY EV01"
"9494","索奈"
"25071","传祺向往S7"
"244","威霆"
"1234","斯巴鲁BRZ"
"1292","五菱之光"
"2916","奥迪Q5L"
"4337","顺达"
"4688","枫叶80v"
"5408","莱茵旅行者"
"24632","V-900系列"
"25265","腾势N7"
"92","奥迪RS 5"
"230","奔驰G级"
"391","Polo"
"549","柯斯达"
"2873","风行M7"
"3066","途铠"
"4666","领克Z10"
"5589","大将军F9"
"6293","奔驰S级AMG PHEV"
"6324","福田征服者PLUS"
"24672","雍和系列"
"25097","新途远界"
"25194","羿驰05"
"810","金杯T5"
"2972","睿行EM80"
"3022","长安之星9 EV"
"4638","比亚迪D1"
"4865","宋PLUS DM"
"8939","创维K10"
"9635","猎手"
"24719","快运王V2"
"575","全顺"
"735","帝豪EV"
"815","新海狮X30L"
"1310","伊兰特"
"1456","逸动EV"
"3729","黄海·威龙"
"6294","小鹏X9"
"9685","骏航EV"
"9719","锐菱"
"741","博越"
"1066","优劲"
"1794","传祺M8"
"1928","陆风X8"
"2036","捷尼赛思G80"
"5106","零跑C01"
"5860","一汽丰田bZ4X"
"6017","安凯快乐运"
"6085","奔腾M9"
"9469","越界R6"
"9668","广汽丰田铂智4X"
"24690","聚星"
"24952","魔方系列"
"25335","予风黄金仓PLUS"
"1273","沃尔沃V90"
"1473","长安星卡"
"1574","尊行"
"1783","宝马X2(进口)"
"2825","宝马X7"
"4258","ID.4 X"
"4785","DST神州5号"
"9903","凯迪拉克CT5(测试)"
"24595","迈腾(刘阳)"
"24621","瑞弗V系列"
"245","奔驰V级"
"536","汉兰达"
"1081","艾瑞泽5"
"1596","卡升威霆"
"1626","五菱宏光S3"
"2816","捷豹E-PACE"
"2843","蔚来ES6"
"2913","奔驰A级"
"3090","九龙EM3"
"3140","瑞迈EV"
"4838","宝马i3"
"4871","朋克美美"
"4901","五菱征程"
"5032","凌宝COCO"
"5164","奔驰GLE轿跑"
"5448","江淮T8 EV"
"6124","哈弗二代大狗PHEV"
"8858","银河E8"
"10120","红旗HS3 PHEV"
"10165","Lorinser 星际战车"
"10206","奔驰GLC PHEV"
"24548","江淮Van宝路"
"616","传祺GS4"
"781","域虎7"
"2716","奔驰E级PHEV"
"2937","沃尔沃S90 PHEV"
"3065","北京U7"
"3354","雷克萨斯LM"
"4760","岚图FREE"
"5002","奥迪Q5 e-tron"
"5181","小泰迪"
"5243","猛士M50"
"5269","欧拉好猫GT"
"5451","宝马i5(进口)"
"5978","凯迪拉克GT4"
"5982","五菱星驰"
"9125","荣威D7 EV"
"10255","瑞驰ES50"
"25031","MJ系列"
"96","奥迪A4L"
"250","奔驰C级AMG"
"859","凯迪拉克CT6"
"3143","途锐PHEV"
"4154","海豚EV"
"5910","吉奥帅凌"
"6115","远航Y7"
"9036","伊兰特Elantra N"
"9235","五菱星光PHEV"
"9477","长安F70"
"9627","IONIQ 5 N(艾尼氪5N)"
"9804","鑫源E3L"
"20045","凯迪拉克 CT5"
"24653","V-900系列"
"24722","猎鹰"
"24977","神行者"
"25243","五菱宏光MINIEV"
"37","MG7"
"292","冠道"
"2004","捷尼赛思GV80"
"3083","星途追风"
"4708","新途EV90"
"5261","九龙EW5"
"5288","长安UNI-V"
"5401","大通H90"
"5907","捷途大圣i-DM"
"5985","斯威G01FF"
"6025","博越L"
"6325","问界M9"
"254","奔驰GLA AMG"
"3760","Evija"
"4385","极狐 阿尔法T"
"5306","深蓝SL03"
"5468","影酷"
"5862","瑞驰ED71"
"6204","蓝电E5"
"9701","猛士M800"
"25215","艾瑞泽5 惠民版"
"2069","库里南"
"2975","缤越"
"3692","祥菱M"
"4970","领克02 Hatchback"
"5245","大切诺基4xe(进口)"
"24932","长安欧尚520"
"24947","伴侣系列"
"47","MINI JCW COUNTRYMAN"
"53","斯威X7"
"148","宝马X1"
"484","东南DX3"
"1159","途乐"
"3176","宝马X4 M"
"3473","标致508L PHEV"
"5812","奔驰EQE SUV AMG"
"5952","海鸥"
"10026","银河E5"
"25137","海豹05DM"
"25273","星愿"
"437","风光330"
"716","黄海·蛟龙"
"775","江淮T6"
"803","金杯海狮"
"1291","五菱荣光"
"1423","英菲尼迪QX50"
"4813","威兰达PHEV"
"5092","红旗E-QM5"
"5162","欧萌达"
"5997","睿蓝7"
"6305","凯翼昆仑iHD"
"8930","曹操60"
"20127","一汽-大众 迈腾 （李林煊）"
"24649","V-900系列"
"24697","麒麟系列"
"24986","小米SU7 Ultra"
"225","奔驰S级PHEV"
"352","昂科威"
"559","新龙马汽车启腾EX80"
"5151","枫叶60s"
"5267","神骐T30"
"5553","VGV VX7"
"9173","荣威D7 DMH"
"9324","仰望U7 EV"
"24979","领航系列"
"311","唐DM"
"534","雷凌"
"798","捷豹XFL"
"1293","五菱荣光V"
"1684","奥迪S4"
"3142","迈腾GTE"
"3157","吉利几何A"
"3381","荣威RX5 MAX"
"4205","睿行EM60"
"4794","奔腾T55"
"5358","IQ锐歌"
"5924","岚图梦想家 PHEV"
"100","奥迪Q3"
"247","图雅诺"
"992","揽胜运动版"
"6170","华凯新能源VE06"
"9241","大拿V1"
"9605","启辰大V氢境"
"9824","海豹06DM"
"25009","诺亚方舟"
"25121","雷达金刚EV"
